 Location,Block,Floor,Area,18:4b:0d:23:60:78,44:1e:98:fb:55:d8,44:1e:98:3b:55:dc,44:1e:98:bb:55:d8,60:d0:2c:9f:63:98,60:d0:2c:df:63:98,44:1e:98:bb:55:dc,44:1e:98:3b:55:d8,18:4b:0d:a3:60:78,18:4b:0d:e3:60:78,44:1e:98:fb:55:dc,18:4b:0d:dc:30:98,18:4b:0d:1c:30:98,60:d0:2c:df:63:9c,18:4b:0d:a3:75:38,18:4b:0d:e3:75:38,18:4b:0d:9c:30:98,24:79:2a:34:ea:0d,18:4b:0d:dc:30:9c,58:b6:33:fa:1c:dc,24:79:2a:74:ea:0c,58:b6:33:3a:1c:dc,60:d0:2c:1f:63:98,58:b6:33:ba:1c:dc,60:d0:2c:9f:63:9c,18:4b:0d:1c:30:9c,18:4b:0d:9c:30:9c,60:d0:2c:1f:63:9c,24:79:2a:f4:ea:0c,24:79:2a:f4:ea:08,24:79:2a:74:ea:08,24:79:2a:34:ea:09,58:b6:33:3a:1c:d8,58:b6:33:ba:1c:d8,58:b6:33:fa:1c:d8,18:4b:0d:a3:75:3c,18:4b:0d:e3:75:3c,18:4b:0d:23:75:38,18:4b:0d:e3:60:7c,18:4b:0d:23:60:7c,18:4b:0d:a3:60:7c,18:4b:0d:23:75:3c,1c:b9:c4:3d:84:e8,1c:b9:c4:fd:84:e8,1c:b9:c4:bd:84:e8,1c:b9:c4:bd:84:ec,1c:b9:c4:3d:84:ec,1c:b9:c4:fd:84:ec,2c:c5:d3:e0:f8:b8,2c:c5:d3:a0:f8:b8,80:03:84:9a:69:68,5c:df:89:da:c4:08,5c:df:89:9a:c4:08,20:58:69:39:70:e8,d8:38:fc:b5:9b:58,d8:38:fc:b5:dc:e8,d8:38:fc:35:dd:28,d8:38:fc:75:dd:28,d8:38:fc:35:9b:58,d8:38:fc:75:9b:58,d8:38:fc:75:dd:2c,d8:38:fc:78:bc:38,20:58:69:79:70:e8,d8:38:fc:b5:d6:28,d8:38:fc:b5:dd:28,d8:38:fc:35:dc:e8,d8:38:fc:75:dc:e8,d8:38:fc:b5:dd:2c,d8:38:fc:35:d6:28,d8:38:fc:75:d6:28,20:58:69:b9:70:e8,d8:38:fc:b8:bc:38,5c:df:89:1a:c4:08,80:03:84:da:69:68,24:79:2a:f4:ea:38,24:79:2a:b4:ea:38,Time
 LAB_1_3PM_M_14,14,1,13.0,-110,-70,-81,-69,-110,-110,-79,-71,-76,-76,-80,-80,-80,-62,-64,-64,-79,-66,-110,-110,-67,-110,-110,-110,-62,-110,-110,-64,-66,-110,-110,-110,-79,-79,-79,-110,-110,-65,-79,-79,-79,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,3
 LAB_1_3PM_M_2,2,1,13.0,-110,-78,-110,-77,-52,-52,-89,-78,-110,-110,-90,-86,-110,-59,-79,-79,-86,-47,-110,-110,-48,-110,-53,-110,-59,-110,-110,-61,-47,-51,-51,-53,-76,-76,-77,-110,-110,-78,-110,-110,-110,-110,-77,-76,-75,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,3
 LAB_1_3PM_N_1,1,1,14.0,-110,-83,-110,-83,-58,-58,-83,-110,-110,-110,-82,-110,-110,-58,-76,-76,-110,-39,-110,-79,-40,-76,-59,-80,-58,-110,-110,-58,-39,-39,-39,-39,-110,-110,-110,-83,-83,-76,-110,-110,-110,-84,-73,-71,-72,-85,-74,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,3
 LAB_1_3PM_N_13,13,1,14.0,-110,-110,-72,-110,-60,-61,-71,-110,-110,-110,-72,-79,-80,-64,-72,-72,-79,-63,-110,-78,-64,-78,-61,-78,-63,-110,-110,-65,-63,-56,-56,-56,-72,-72,-72,-76,-76,-73,-74,-74,-74,-76,-110,-110,-110,-89,-110,-90,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,3
 LAB_1_3PM_N_14,14,1,14.0,-110,-74,-110,-73,-110,-110,-90,-75,-67,-110,-92,-80,-81,-67,-67,-67,-80,-68,-110,-110,-68,-110,-110,-110,-66,-110,-110,-68,-68,-110,-110,-110,-77,-78,-77,-110,-110,-68,-110,-110,-110,-110,-110,-83,-84,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,3
 LAB_1_3PM_N_2,2,1,14.0,-110,-82,-110,-83,-53,-53,-110,-81,-110,-110,-90,-110,-110,-61,-76,-76,-110,-42,-110,-110,-41,-110,-54,-110,-61,-110,-110,-62,-42,-51,-50,-50,-74,-74,-73,-110,-110,-76,-110,-110,-110,-110,-75,-75,-75,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,3
 LAB_1_3PM_O_1,1,1,15.0,-110,-77,-110,-76,-55,-55,-86,-77,-84,-85,-85,-110,-110,-59,-71,-71,-110,-39,-110,-77,-40,-76,-55,-78,-60,-110,-110,-61,-39,-37,-37,-37,-66,-65,-66,-80,-80,-72,-110,-110,-110,-81,-74,-75,-74,-85,-85,-85,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,3
 LAB_1_3PM_O_13,13,1,15.0,-110,-110,-75,-110,-60,-61,-73,-110,-110,-110,-73,-110,-110,-64,-70,-70,-110,-58,-110,-83,-59,-78,-61,-81,-64,-110,-110,-65,-58,-60,-60,-60,-81,-81,-81,-81,-81,-71,-64,-64,-64,-81,-110,-110,-110,-84,-110,-90,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,3
 LAB_1_3PM_O_14,14,1,15.0,-110,-74,-110,-74,-64,-64,-89,-74,-67,-110,-90,-80,-81,-64,-69,-69,-80,-60,-110,-110,-61,-110,-64,-110,-64,-110,-110,-66,-60,-110,-110,-110,-83,-83,-82,-110,-110,-69,-110,-110,-110,-110,-79,-83,-78,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,3
 LAB_1_3PM_O_2,2,1,15.0,-110,-84,-110,-84,-65,-65,-110,-81,-110,-110,-110,-110,-110,-70,-75,-78,-110,-39,-110,-110,-39,-110,-66,-110,-70,-110,-110,-71,-39,-47,-46,-47,-69,-69,-69,-110,-110,-77,-90,-110,-90,-110,-78,-77,-78,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,3
