 Location,Block,Floor,Area,18:4b:0d:23:60:78,44:1e:98:fb:55:d8,44:1e:98:3b:55:dc,44:1e:98:bb:55:d8,60:d0:2c:9f:63:98,60:d0:2c:df:63:98,44:1e:98:bb:55:dc,44:1e:98:3b:55:d8,18:4b:0d:a3:60:78,18:4b:0d:e3:60:78,44:1e:98:fb:55:dc,18:4b:0d:dc:30:98,18:4b:0d:1c:30:98,60:d0:2c:df:63:9c,18:4b:0d:a3:75:38,18:4b:0d:e3:75:38,18:4b:0d:9c:30:98,24:79:2a:34:ea:0d,18:4b:0d:dc:30:9c,58:b6:33:fa:1c:dc,24:79:2a:74:ea:0c,58:b6:33:3a:1c:dc,60:d0:2c:1f:63:98,58:b6:33:ba:1c:dc,60:d0:2c:9f:63:9c,18:4b:0d:1c:30:9c,18:4b:0d:9c:30:9c,60:d0:2c:1f:63:9c,24:79:2a:f4:ea:0c,24:79:2a:f4:ea:08,24:79:2a:74:ea:08,24:79:2a:34:ea:09,58:b6:33:3a:1c:d8,58:b6:33:ba:1c:d8,58:b6:33:fa:1c:d8,18:4b:0d:a3:75:3c,18:4b:0d:e3:75:3c,18:4b:0d:23:75:38,18:4b:0d:e3:60:7c,18:4b:0d:23:60:7c,18:4b:0d:a3:60:7c,18:4b:0d:23:75:3c,1c:b9:c4:3d:84:e8,1c:b9:c4:fd:84:e8,1c:b9:c4:bd:84:e8,1c:b9:c4:bd:84:ec,1c:b9:c4:3d:84:ec,1c:b9:c4:fd:84:ec,2c:c5:d3:e0:f8:b8,2c:c5:d3:a0:f8:b8,80:03:84:9a:69:68,5c:df:89:da:c4:08,5c:df:89:9a:c4:08,20:58:69:39:70:e8,d8:38:fc:b5:9b:58,d8:38:fc:b5:dc:e8,d8:38:fc:35:dd:28,d8:38:fc:75:dd:28,d8:38:fc:35:9b:58,d8:38:fc:75:9b:58,d8:38:fc:75:dd:2c,d8:38:fc:78:bc:38,20:58:69:79:70:e8,d8:38:fc:b5:d6:28,d8:38:fc:b5:dd:28,d8:38:fc:35:dc:e8,d8:38:fc:75:dc:e8,d8:38:fc:b5:dd:2c,d8:38:fc:35:d6:28,d8:38:fc:75:d6:28,20:58:69:b9:70:e8,d8:38:fc:b8:bc:38,5c:df:89:1a:c4:08,80:03:84:da:69:68,24:79:2a:f4:ea:38,24:79:2a:b4:ea:38,Time
 LAB_0_12PM_A_1,1,0,1.0,-76,-71,-63,-70,-64,-64,-62,-72,-82,-82,-50,-52,-53,-65,-83,-84,-52,-71,-68,-70,-71,-70,-65,-70,-65,-69,-68,-67,-71,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_A_10,10,0,1.0,-110,-81,-110,-80,-52,-52,-110,-81,-85,-110,-110,-75,-110,-69,-110,-110,-110,-67,-110,-77,-67,-77,-53,-77,-68,-110,-110,-70,-67,-63,-110,-110,-68,-67,-67,-85,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_A_11,11,0,1.0,-110,-81,-110,-80,-52,-52,-110,-81,-85,-110,-110,-110,-110,-69,-110,-110,-110,-67,-110,-77,-67,-77,-53,-77,-68,-110,-110,-70,-67,-110,-110,-110,-68,-67,-67,-85,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_A_12,12,0,1.0,-110,-81,-110,-80,-52,-52,-110,-81,-85,-110,-110,-110,-110,-69,-110,-110,-110,-67,-110,-77,-67,-77,-53,-77,-68,-110,-110,-70,-67,-110,-110,-110,-68,-67,-67,-85,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_A_2,2,0,1.0,-110,-71,-110,-70,-60,-61,-110,-72,-82,-82,-110,-46,-47,-64,-84,-84,-46,-70,-72,-71,-71,-71,-61,-72,-64,-63,-61,-66,-70,-62,-62,-63,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_A_3,3,0,1.0,-110,-77,-110,-76,-58,-59,-110,-78,-85,-85,-110,-58,-59,-65,-84,-84,-59,-61,-82,-75,-62,-75,-59,-75,-67,-83,-82,-69,-61,-63,-64,-63,-62,-62,-62,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_A_4,4,0,1.0,-110,-74,-110,-74,-63,-62,-110,-77,-85,-85,-110,-65,-65,-69,-85,-85,-64,-62,-87,-81,-62,-82,-64,-82,-66,-83,-88,-67,-62,-63,-64,-63,-69,-69,-69,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_A_5,5,0,1.0,-110,-74,-110,-74,-63,-62,-110,-77,-85,-85,-110,-65,-65,-69,-85,-85,-64,-62,-87,-81,-62,-82,-64,-82,-66,-110,-88,-67,-62,-110,-110,-110,-69,-69,-69,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_A_6,6,0,1.0,-110,-74,-110,-74,-63,-62,-110,-77,-85,-85,-110,-65,-65,-69,-85,-85,-64,-62,-87,-81,-62,-82,-64,-82,-66,-110,-88,-67,-62,-110,-110,-110,-69,-69,-69,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_A_7,7,0,1.0,-110,-74,-110,-74,-57,-57,-110,-77,-85,-85,-110,-65,-65,-64,-85,-85,-64,-69,-87,-79,-70,-78,-58,-79,-63,-110,-90,-64,-69,-110,-110,-110,-69,-69,-69,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_A_8,8,0,1.0,-110,-110,-110,-110,-58,-58,-110,-110,-82,-82,-110,-70,-71,-63,-110,-110,-71,-72,-110,-75,-72,-75,-59,-75,-61,-110,-90,-63,-72,-63,-63,-63,-63,-63,-65,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_A_9,9,0,1.0,-110,-110,-110,-110,-61,-61,-110,-110,-82,-82,-110,-75,-71,-67,-110,-110,-71,-75,-110,-75,-76,-75,-62,-75,-70,-110,-110,-71,-75,-63,-63,-63,-63,-63,-65,-85,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_B_1,1,0,2.0,-78,-34,-48,-34,-85,-86,-47,-34,-77,-77,-31,-77,-77,-79,-110,-110,-77,-110,-86,-110,-110,-110,-110,-110,-80,-110,-86,-110,-110,-85,-110,-85,-110,-89,-89,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_B_10,10,0,2.0,-110,-110,-110,-110,-58,-110,-110,-110,-110,-110,-110,-76,-77,-67,-110,-110,-74,-74,-110,-110,-75,-110,-110,-110,-67,-110,-110,-69,-74,-66,-66,-66,-62,-62,-62,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_B_11,11,0,2.0,-110,-84,-110,-84,-61,-61,-110,-110,-110,-110,-110,-75,-77,-65,-75,-75,-74,-73,-110,-77,-74,-77,-62,-78,-65,-110,-110,-67,-73,-65,-66,-66,-62,-62,-68,-110,-110,-77,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_B_12,12,0,2.0,-110,-84,-110,-84,-61,-61,-110,-110,-110,-110,-110,-75,-110,-65,-75,-75,-110,-73,-110,-77,-74,-77,-62,-78,-65,-110,-110,-67,-73,-65,-110,-110,-110,-110,-68,-110,-110,-77,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_B_2,2,0,2.0,-78,-79,-48,-79,-67,-67,-47,-80,-77,-77,-31,-54,-55,-67,-110,-110,-54,-110,-66,-65,-110,-65,-67,-65,-67,-67,-66,-69,-110,-72,-73,-73,-110,-89,-89,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_B_3,3,0,2.0,-110,-75,-110,-74,-65,-65,-110,-75,-110,-110,-87,-65,-64,-70,-110,-110,-64,-59,-70,-65,-60,-74,-67,-65,-69,-71,-71,-70,-59,-58,-58,-58,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_B_4,4,0,2.0,-110,-75,-110,-74,-65,-65,-110,-75,-110,-110,-87,-65,-64,-70,-110,-110,-64,-59,-70,-110,-60,-74,-110,-110,-69,-71,-71,-70,-59,-58,-58,-58,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_B_5,5,0,2.0,-110,-76,-110,-76,-64,-64,-88,-78,-110,-110,-87,-64,-64,-67,-110,-110,-64,-59,-70,-110,-61,-74,-65,-110,-66,-71,-71,-68,-60,-50,-58,-49,-74,-110,-74,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_B_6,6,0,2.0,-110,-76,-110,-76,-64,-64,-88,-78,-110,-110,-110,-64,-64,-67,-110,-110,-64,-59,-110,-110,-61,-110,-65,-110,-66,-110,-110,-68,-60,-50,-110,-49,-74,-110,-74,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_B_7,7,0,2.0,-110,-76,-110,-76,-58,-59,-88,-78,-110,-110,-110,-75,-76,-65,-110,-110,-75,-78,-110,-110,-79,-110,-60,-110,-64,-110,-110,-66,-78,-66,-67,-66,-69,-70,-69,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_B_8,8,0,2.0,-110,-110,-110,-110,-58,-59,-110,-110,-110,-110,-110,-75,-76,-65,-110,-110,-75,-78,-110,-110,-79,-110,-60,-110,-64,-110,-110,-66,-78,-66,-67,-66,-69,-70,-69,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_B_9,9,0,2.0,-110,-110,-110,-110,-58,-59,-110,-110,-110,-110,-110,-76,-77,-67,-110,-110,-74,-74,-110,-110,-75,-110,-60,-110,-67,-110,-110,-69,-74,-66,-66,-66,-62,-62,-62,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_C_1,1,0,3.0,-110,-73,-110,-73,-68,-68,-110,-74,-82,-82,-110,-59,-65,-63,-110,-110,-64,-74,-72,-81,-75,-80,-69,-81,-62,-73,-71,-64,-74,-73,-110,-74,-110,-110,-110,-88,-89,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_C_13,13,0,3.0,-110,-83,-110,-84,-61,-61,-110,-110,-110,-110,-110,-76,-76,-63,-110,-110,-75,-78,-110,-110,-79,-110,-62,-110,-63,-110,-110,-64,-78,-58,-58,-58,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_C_14,14,0,3.0,-110,-81,-81,-80,-52,-56,-80,-80,-85,-110,-80,-110,-110,-68,-110,-110,-110,-64,-110,-85,-64,-85,-53,-85,-67,-110,-110,-68,-64,-110,-110,-62,-68,-67,-67,-85,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_C_2,2,0,3.0,-110,-110,-84,-110,-64,-68,-82,-110,-110,-110,-82,-65,-66,-67,-83,-83,-66,-75,-67,-69,-76,-69,-68,-69,-67,-69,-67,-69,-76,-110,-110,-110,-110,-87,-87,-88,-89,-110,-110,-110,-110,-89,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_D_1,1,0,4.0,-110,-73,-110,-73,-68,-68,-110,-74,-110,-110,-110,-59,-65,-63,-110,-110,-64,-74,-72,-81,-75,-80,-69,-81,-62,-73,-71,-64,-74,-73,-110,-74,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_D_13,13,0,4.0,-110,-83,-110,-84,-61,-61,-110,-110,-110,-110,-110,-76,-76,-63,-110,-110,-75,-78,-110,-110,-79,-110,-62,-110,-63,-110,-110,-64,-78,-58,-58,-58,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_D_14,14,0,4.0,-110,-73,-83,-72,-57,-57,-82,-73,-110,-85,-83,-110,-110,-64,-110,-110,-110,-69,-110,-81,-67,-82,-57,-81,-63,-110,-110,-65,-67,-59,-59,-59,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_D_2,2,0,4.0,-110,-82,-84,-82,-58,-59,-82,-82,-110,-110,-82,-65,-71,-57,-110,-110,-70,-67,-83,-81,-67,-82,-59,-83,-57,-83,-82,-58,-68,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_E_1,1,0,5.0,-110,-81,-110,-80,-58,-59,-110,-82,-110,-110,-110,-74,-76,-69,-110,-110,-75,-77,-85,-79,-77,-79,-59,-79,-64,-86,-86,-66,-77,-73,-110,-74,-110,-110,-110,-110,-110,-110,-86,-86,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_E_13,13,0,5.0,-110,-83,-110,-84,-61,-61,-110,-110,-110,-110,-110,-76,-77,-66,-110,-110,-76,-65,-110,-110,-66,-110,-62,-110,-70,-110,-110,-71,-65,-58,-58,-57,-74,-73,-73,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_E_14,14,0,5.0,-110,-73,-83,-72,-58,-59,-83,-73,-110,-85,-83,-74,-74,-64,-110,-110,-74,-68,-110,-87,-67,-82,-59,-87,-63,-110,-110,-65,-67,-59,-59,-59,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_E_2,2,0,5.0,-110,-82,-110,-82,-53,-53,-86,-82,-110,-110,-86,-73,-74,-56,-110,-110,-73,-71,-88,-71,-72,-72,-54,-72,-48,-89,-88,-49,-71,-110,-110,-110,-110,-110,-110,-93,-92,-110,-88,-110,-88,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_F_1,1,0,6.0,-110,-81,-110,-80,-58,-59,-110,-82,-110,-110,-110,-73,-74,-50,-110,-110,-73,-75,-86,-78,-76,-80,-59,-80,-48,-86,-86,-50,-75,-110,-110,-110,-110,-110,-110,-90,-90,-110,-86,-86,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_F_13,13,0,6.0,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-76,-77,-66,-110,-110,-76,-65,-110,-110,-66,-110,-110,-110,-70,-110,-110,-71,-65,-58,-58,-57,-74,-73,-73,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_F_14,14,0,6.0,-76,-110,-80,-110,-57,-57,-79,-110,-75,-76,-79,-70,-71,-65,-110,-110,-71,-67,-88,-81,-67,-81,-58,-81,-65,-110,-88,-67,-67,-110,-110,-110,-110,-110,-110,-88,-87,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_F_2,2,0,6.0,-110,-110,-85,-110,-57,-58,-83,-110,-110,-110,-84,-73,-74,-48,-110,-110,-77,-71,-85,-79,-73,-79,-59,-79,-54,-85,-84,-56,-70,-110,-110,-110,-110,-110,-110,-92,-91,-110,-88,-110,-89,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_G_1,1,0,7.0,-110,-110,-110,-110,-60,-60,-110,-110,-110,-110,-110,-80,-80,-59,-110,-110,-80,-71,-110,-110,-72,-110,-60,-110,-61,-110,-110,-63,-71,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_G_13,13,0,7.0,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-76,-77,-66,-110,-110,-76,-65,-110,-110,-66,-110,-110,-110,-70,-110,-110,-71,-65,-58,-58,-57,-74,-73,-73,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_G_14,14,0,7.0,-76,-110,-80,-110,-57,-57,-79,-110,-75,-76,-79,-70,-71,-65,-110,-110,-71,-67,-88,-81,-67,-81,-58,-81,-65,-110,-88,-67,-67,-110,-110,-110,-110,-110,-110,-88,-87,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_G_2,2,0,7.0,-110,-110,-85,-110,-57,-58,-83,-110,-110,-110,-84,-110,-110,-48,-110,-110,-77,-71,-85,-79,-73,-79,-59,-79,-54,-85,-84,-56,-70,-110,-110,-110,-110,-110,-110,-92,-91,-110,-88,-110,-89,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_H_1,1,0,8.0,-110,-82,-110,-83,-53,-53,-110,-83,-110,-110,-110,-85,-80,-60,-110,-110,-84,-72,-110,-79,-72,-79,-54,-79,-63,-110,-110,-63,-72,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_H_13,13,0,8.0,-110,-110,-110,-110,-64,-64,-110,-110,-110,-110,-110,-70,-71,-69,-73,-74,-70,-66,-110,-110,-68,-110,-65,-110,-68,-110,-110,-70,-66,-58,-58,-57,-74,-73,-73,-110,-110,-74,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_H_14,14,0,8.0,-76,-110,-80,-110,-57,-57,-79,-110,-75,-76,-79,-70,-71,-65,-110,-110,-71,-67,-88,-81,-67,-81,-58,-81,-65,-110,-88,-67,-67,-110,-110,-110,-110,-110,-110,-88,-87,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_H_2,2,0,8.0,-110,-110,-85,-110,-57,-58,-83,-110,-110,-110,-84,-110,-110,-48,-110,-110,-77,-71,-85,-79,-73,-79,-59,-79,-54,-85,-84,-56,-70,-110,-110,-110,-110,-110,-110,-92,-91,-110,-88,-110,-89,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_I_1,1,0,9.0,-110,-82,-110,-83,-53,-53,-110,-83,-110,-110,-110,-85,-110,-60,-110,-110,-84,-72,-110,-79,-72,-79,-54,-79,-63,-110,-110,-63,-72,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_I_13,13,0,9.0,-110,-110,-110,-110,-64,-64,-110,-110,-110,-110,-110,-70,-71,-69,-73,-74,-70,-66,-110,-110,-68,-110,-65,-110,-68,-110,-110,-70,-66,-110,-110,-110,-110,-110,-110,-110,-110,-74,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
